Date,ODC,R2000,Rentabilidad_ODC,Rentabilidad_R2000,Mkt-RF,SMB,HML,RF,Market Premium,ODC Premium
2015-12-01,14.225913047790527,1135.8900146484375,0.188033878310589,-0.0533288054306769,-0.0215,-0.027999999999999997,-0.025699999999999997,0.0001,-0.0534288054306769,0.187933878310589
2016-01-01,14.484705924987791,1035.3800048828125,0.0181916532406656,-0.0926479837118532,-0.0574,-0.034,0.0208,0.0001,-0.09274798371185321,0.0180916532406656
2016-02-01,14.229779243469238,1033.9000244140625,-0.0175997139906566,-0.0014304305846954,-0.0006,0.0073,-0.0060999999999999995,0.0002,-0.0016304305846954002,-0.0177997139906566
2016-03-01,13.12230110168457,1114.030029296875,-0.0778282025909112,0.0746460141985628,0.0695,0.0075,0.012199999999999999,0.0002,0.0744460141985628,-0.0780282025909112
2016-04-01,12.959147453308104,1130.8499755859375,-0.0124333108280467,0.0149854433319224,0.0092,0.0077,0.0322,0.0001,0.014885443331922401,-0.0125333108280467
2016-05-01,12.62895393371582,1154.7900390625,-0.0254795711509553,0.0209490023329474,0.0178,-0.0018,-0.016200000000000003,0.0001,0.0208490023329474,-0.0255795711509553
2016-06-01,13.505373001098633,1151.9200439453125,0.0693975979311332,-0.002488389520006,-0.0003,0.006,-0.0149,0.0002,-0.0026883895200060003,0.0691975979311332
2016-07-01,14.647446632385254,1219.93994140625,0.0845643901278192,0.0573714756103778,0.0394,0.0245,-0.0124,0.0002,0.0571714756103778,0.0843643901278192
2016-08-01,14.780426025390623,1239.9100341796875,0.0090786740066597,0.016237194726069,0.0049,0.011699999999999999,0.0317,0.0002,0.016037194726069,0.0088786740066597
2016-09-01,14.81061553955078,1251.6500244140625,0.0020425334228049,0.0094238764816637,0.0027,0.0208,-0.011899999999999999,0.0002,0.0092238764816637,0.0018425334228049
2016-10-01,13.283906936645508,1191.3900146484375,-0.1030820494143742,-0.0493419953997903,-0.020099999999999996,-0.043899999999999995,0.041100000000000005,0.0002,-0.049541995399790296,-0.1032820494143742
2016-11-01,15.625117301940918,1322.3399658203125,0.1762441107470314,0.1042821636108165,0.048600000000000004,0.055999999999999994,0.08289999999999999,0.0001,0.1041821636108165,0.1761441107470314
2016-12-01,15.118915557861328,1357.1300048828125,-0.0323966684088004,0.0259693108233552,0.0181,0.0014000000000000002,0.0347,0.0003,0.025669310823355197,-0.0326966684088004
2017-01-01,13.314614295959473,1361.8199462890625,-0.1193406534348741,0.0034498215427481,0.0194,-0.0116,-0.0276,0.0004,0.0030498215427481,-0.1197406534348741
2017-02-01,13.95956802368164,1386.6800537109375,0.0484395351893813,0.0180904387141862,0.0355,-0.0215,-0.015,0.0004,0.0176904387141862,0.048039535189381304
2017-03-01,14.840631484985352,1385.9200439453125,0.0631153814938281,-0.0005482289243968,0.0017000000000000001,0.0113,-0.0333,0.0003,-0.0008482289243967999,0.0628153814938281
2017-04-01,16.20244598388672,1400.4300537109375,0.0917625709040177,0.01041515992029,0.0108,0.0066,-0.020499999999999997,0.0005,0.00991515992029,0.0912625709040177
2017-05-01,13.725692749023438,1370.2099609375,-0.1528629218900902,-0.0218153864165518,0.010700000000000001,-0.0252,-0.0382,0.0006,-0.0224153864165518,-0.1534629218900902
2017-06-01,16.824329376220703,1415.3599853515625,0.2257544798544124,0.032419921091938,0.0079,0.022099999999999998,0.015,0.0006,0.031819921091938,0.22515447985441242
2017-07-01,16.56401252746582,1425.1400146484375,-0.0154726433924202,0.0068861594392547,0.018799999999999997,-0.014499999999999999,-0.0023,0.0007000000000000001,0.0061861594392546996,-0.0161726433924202
2017-08-01,16.299697875976562,1405.280029296875,-0.0159571632206254,-0.0140334727530764,0.0018,-0.0167,-0.0213,0.0009,-0.0149334727530764,-0.0168571632206254
2017-09-01,19.70787239074707,1490.8599853515625,0.2090943366375932,0.0591165328005352,0.024900000000000002,0.044500000000000005,0.0315,0.0009,0.0582165328005352,0.20819433663759318
2017-10-01,16.9206600189209,1502.530029296875,-0.1414263456026222,0.0077972486134667,0.0226,-0.019299999999999998,0.0013,0.0009,0.0068972486134667,-0.14232634560262222
2017-11-01,18.161205291748047,1544.1400146484375,0.0733154186326039,0.027316757105198,0.031200000000000002,-0.006,-0.0009,0.0008,0.026516757105198,0.0725154186326039
2017-12-01,16.805931091308594,1535.510009765625,-0.0746246836962551,-0.0056045507795594,0.0106,-0.0132,0.0005,0.0009,-0.0065045507795594,-0.0755246836962551
