Date,Date,ODC,R2000,Rentabilidad_ODC,Rentabilidad_R2000,Mkt-RF,SMB,HML,RF,Market Premium,ODC Premium,residuos,residuos_normalizados,intervencion,residuos_outlier
2016-06-01,2016-06-01,13.505373001098633,1151.9200439453125,0.0693975979311332,-0.002488389520006,-0.0003,0.006,-0.0149,0.0002,-0.002688389520006,0.0691975979311332,0.05769770579263735,0.5482288808391723,0,0.06112775299240557
2016-07-01,2016-07-01,14.647446632385254,1219.93994140625,0.0845643901278192,0.0573714756103778,0.0394,0.0245,-0.0124,0.0002,0.0571714756103778,0.0843643901278192,0.0424140261556088,0.40300725603789944,0,0.050554566893636604
2016-08-01,2016-08-01,14.780426025390623,1239.9100341796875,0.0090786740066597,0.016237194726069,0.0049,0.0116999999999999,0.0317,0.0002,0.016037194726069,0.0088786740066597,-0.01214684727271323,-0.11541624393137823,0,-0.007243246074800442
2016-09-01,2016-09-01,14.81061553955078,1251.6500244140625,0.0020425334228049,0.0094238764816637,0.0027,0.0208,-0.0118999999999999,0.0002,0.0092238764816637,0.0018425334228049,-0.015717080360059327,-0.14933968790409335,0,-0.01134963291883262
2016-10-01,2016-10-01,13.283906936645508,1191.3900146484375,-0.1030820494143742,-0.0493419953997903,-0.0200999999999999,-0.0438999999999999,0.0411,0.0002,-0.0495419953997902,-0.1032820494143742,-0.09094770131456126,-0.8641618556857726,0,-0.09120465887599923
2016-11-01,2016-11-01,15.625117301940918,1322.3399658203125,0.1762441107470314,0.1042821636108165,0.0486,0.0559999999999999,0.0828999999999999,0.0001,0.1041821636108165,0.1761441107470314,0.11027959949562344,1.0478486203275128,0,0.12211950610380258
2016-12-01,2016-12-01,15.118915557861328,1357.1300048828125,-0.0323966684088004,0.0259693108233552,0.0181,0.0014,0.0347,0.0003,0.0256693108233551,-0.0326966684088004,-0.058622008277483914,-0.5570113672459189,0,-0.052960436433676664
2017-01-01,2017-01-01,13.314614295959473,1361.8199462890625,-0.1193406534348741,0.0034498215427481,0.0194,-0.0116,-0.0276,0.0004,0.0030498215427481,-0.1197406534348741,-0.13415955038505323,-1.2747498215235764,0,-0.13027795178146215
2017-02-01,2017-02-01,13.95956802368164,1386.6800537109375,0.0484395351893813,0.0180904387141862,0.0355,-0.0215,-0.015,0.0004,0.0176904387141862,0.0480395351893813,0.026173015364743223,0.2486893148432715,0,0.03120671366705526
2017-03-01,2017-03-01,14.840631484985352,1385.9200439453125,0.0631153814938281,-0.0005482289243968,0.0017,0.0113,-0.0333,0.0003,-0.0008482289243967,0.0628153814938281,0.05037940708611795,0.4786922735442274,0,0.05395426023518286
